University Name,Program Title,Program URL,Program Overview,Total Credit Hours/Units,Duration,Delivery Format,Core Courses,Specializations/Tracks,Elective Courses,Capstone/Project Requirement,Internship/Practicum,Program Learning Outcomes,Skills and Tools Emphasized,Faculty Profiles,Research Labs/Initiatives,Research Opportunities,Unnamed: 17
American University in Cairo,Master of Science in Computer Science,https://catalog.aucegypt.edu/preview_program.php?catoid=39&poid=6893,"Structured program focusing on advanced topics in computer science, including AI and data mining","33 credits (9 core, 15 elective, 9 thesis)","2 years, full-time",On-campus,"Algorithms and Theory, Data Management and Systems, Machine Learning (ML) and Artificial Intelligence (AI)","Data Mining, Machine Learning, AI","Advanced Data Mining (CSCE 664/6261) – 3 credits, Computational Machine Learning (CSCE 527/5262) – 3 credits",9-credit thesis with original research,"Not specified, practical experience through research projects","Proficiency in analyzing computing problems, advanced techniques, conducting research","Algorithms, distributed systems, AI, machine learning, data mining","Faculty with expertise in AI, data mining, distributed systems",Access to labs and research groups in machine learning and AI,Research opportunities through the thesis component and faculty collaboration,
École Polytechnique Fédérale de Lausanne (EPFL),Master of Science in Data Science,https://www.epfl.ch/education/master/programs/data-science/,Interdisciplinary program offering foundational theories and practical skills in data science and analytics,120 ECTS credits,"2 years, full-time",On-campus,"Data Analysis and Statistics, Algorithms and Theory, Data Management and Systems, Machine Learning (ML) and Artificial Intelligence (AI)",Data Science,"Electives include Advanced Cryptography, Deep Learning, Computational Neurosciences","Master's project at EPFL, in industry, or at another university",Mandatory internship lasting 8 weeks (summer) or 6 months (semester),"Proficiency in handling and extracting knowledge from large datasets, applying ML and data solutions","Python, Java, C++, machine learning, statistical analysis, data management tools","Faculty from Schools of Computer Science, Basic Sciences, and Engineering","Access to labs researching machine learning, AI, and big data analytics",Opportunities via Master's project and collaborations with faculty and industry,
ETH Zurich,Master of Science in Data Science,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/data-science.html,Interdisciplinary program combining theoretical foundations with practical experience in data science,120 ECTS credits,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Management and Systems, Data Analysis and Statistics","Computer Science, Mathematics, IT",Wide range of electives across data science domains,Data Science Laboratory and Master's thesis as capstone projects,Not explicitly required; practical experience emphasized in projects,"Proficiency in managing datasets, developing algorithms, and solving real-world problems","Python, R, machine learning, statistical analysis, data management, visualization tools","Faculty from Computer Science, Mathematics, and Electrical Engineering departments","Access to ETH Zurich labs researching machine learning, data analytics, and AI","Opportunities via thesis and lab projects, often in collaboration with faculty and industry",
Harvard University,Master of Science in Data Science,https://seas.harvard.edu/masters-data-science,"Jointly led by the Computer Science and Statistics faculties, this program trains students in statistical modeling, machine learning, and data management.",Credit-based; includes core courses and optional thesis project.,"2 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Data Management and Systems, Optimization and Mathematical Foundations, Data Analysis and Statistics","Computational Methods, Statistics","Electives in advanced machine learning, big data technologies, and optimization.",Optional master’s thesis research project.,Not specified; practical experience emphasized through coursework and optional research.,Graduates are proficient in computational and statistical techniques for data analysis.,"Python, R, statistical modeling, machine learning, data management",Faculty from Harvard's Computer Science and Statistics departments.,"Access to research labs in data science, machine learning, and AI.",Opportunities through thesis projects and faculty collaborations.,
Harvard University,Master of Liberal Arts (ALM) in Data Science,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"Offered through the Harvard Extension School, this program provides a comprehensive understanding of data science, designed for working professionals.","Credit-based; includes core and elective courses, along with a capstone project.",Varies; typically part-time over 2-3 years.,Hybrid,Big Data and Data Science,Data Science,Electives tailored to individual career goals in data science and analytics.,Capstone project involving real-world data challenges with industry collaboration.,Not required; program emphasizes practical experience through the capstone project.,Graduates are proficient in applying data science tools and techniques to solve real-world problems.,"Python, R, data visualization, big data technologies, data analysis",Faculty from Harvard Extension School and collaborating departments.,Access to online resources and collaboration opportunities with industry partners.,Research opportunities through the capstone project and applied coursework.,
Indian Institute of Technology Bombay,M.S. by Research in Data Science and Artificial Intelligence,https://www.iitb.ac.in/newacadhome/CMInDS-MSBR_AdmBrochure23-24.pdf,Interdisciplinary program focusing on advancing Data Science and AI through cutting-edge research,"Completion of five breadth courses, a seminar, communication skills course, R&D project, and thesis","1.5 to 3 years, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Optimization and Mathematical Foundations, Data Analysis and Statistics","Data Science, AI",Electives available for specific interests in DS and AI,Completion of R&D project and thesis,"Not specified, practical experience through R&D projects","Proficiency in data analysis, machine learning, and AI-driven solutions","Python, R, machine learning, NLP, data visualization, statistical analysis",Faculty from CMInDS with expertise in Data Science and AI,"Access to labs and research groups in AI, ML, and data science",Research opportunities via thesis projects and collaborations with faculty,
Imperial College London,MSc in Statistics (Data Science),https://www.imperial.ac.uk/study/courses/postgraduate-taught/statistics-data-science/,"Comprehensive training in theoretical and applied statistics, focusing on data science techniques","Core modules, optional modules, and a research project (credits per guidelines)","1 year, full-time",On-campus,"Machine Learning (ML) and Artificial Intelligence (AI), Big Data and Data Science","Statistics, Data Science",Electives tailored to data science and statistical interests,Research project addressing real-world data science challenges,"Not specified, practical experience emphasized in projects","Proficiency in data analysis, machine learning, and data-driven solutions","Python, R, statistical analysis, big data technologies, machine learning",Faculty from the Department of Mathematics with expertise in statistics and data science,"Access to research labs in ML, data analytics, and AI",Research opportunities via projects and collaboration with industry,
KCA University,Master of Science in Data Science,https://www.kcau.ac.ke/course/master-of-science-in-data-science/,"Designed to equip graduates with professional knowledge and skills in data science, including Big Data analytics, data programming, and research skills.",Credit-based; details not specified.,2 years (6 trimesters).,Not specified.,"Programming and Tools, Big Data and Data Science","Data Analytics, Data Engineering, Data Architecture",Electives not specified; program emphasizes core topics.,Not specified.,Not specified; emphasis on academic and practical applications.,"Graduates will acquire the appropriate skills, experiences, and knowledge to undertake research at the Ph.D. level and contribute significantly to data science products.","Big Data analytics, data programming, research methodologies.",Information not provided.,Information not provided.,"Graduates interested in research will acquire the appropriate skills, experiences, and knowledge to undertake research at the Ph.D. level.",
KU Leuven,Master of Science in Statistics and Data Science,https://www.kuleuven.be/programmes/master-statistics-data-science,Intensive training in both theoretical and practical aspects of statistics and data science,120 ECTS credits,"2 years, full-time",Hybrid,Data Analysis and Statistics,"Biometrics, Social Sciences, Business Analytics",Electives tailored to specific interests in statistics and data science,Master's thesis involving research or practical projects,"Not mandatory, but internships are encouraged for enhanced learning","Proficiency in applying statistical methodologies, conducting research, and solving real-world problems","R, Python, SAS, machine learning, data analysis, and visualization techniques",Faculty from Leuven Statistics Research Centre (LStat) with diverse expertise,"Access to LStat, a multidisciplinary research center",Research opportunities via thesis projects and collaborations with industry,
McGill University,Master of Management in Analytics (MMA),https://www.mcgill.ca/desautels/programs/mma,"Specialized program focusing on analytics and data science with an emphasis on applied learning through quantitative methods, technology automation, and business applications.",Credit-based; details not specified.,"12 months, full-time",On-campus,"Specialized Applications, Data Analysis and Statistics",Business Analytics,Electives not specified; core program is structured.,Capstone consulting project with company collaboration.,Not required; practical experience emphasized through capstone projects.,Graduates acquire skills to provide data-driven solutions in business contexts.,"Python, R, data analytics, machine learning, business intelligence",Faculty from the Desautels Faculty of Management.,No specific labs mentioned; emphasis on applied projects.,Research opportunities through capstone consulting projects.,
